name	TCGA-CV-5977-11A	TCGA-CV-6003-11A	TCGA-CV-6951-11A	TCGA-CV-6961-11A	TCGA-CV-6939-11A	TCGA-CV-6952-11A	TCGA-CV-5443-11A	TCGA-CV-5971-11A	TCGA-CV-6933-11A	TCGA-CV-5439-11B	TCGA-CV-6433-11A	TCGA-CV-5976-11A	TCGA-CV-5431-11A	TCGA-CV-6954-11A	TCGA-CV-5973-11A	TCGA-CV-5970-11A	TCGA-CV-6959-11A
Bacteroidetes	0.2698380833520342	0.2997287294347524	0.604391786953905	0.8276741788560688	0.369425763699743	0.5161844728161633	0.6196485006544152	0.0928494385182806	0.4849037466926911	0.2211375370373408	0.4370384560405437	0.3590291224588109	0.036537534869517	0.2734695659088881	0.3117180561310473	0.2061222499791208	0.2481255388001262
Proteobacteria	0.0567743060331187	0.1261639595402923	0.0	0.0	0.0773915199750273	0.2017536770261148	0.032886763265799	0.2091019459571931	0.0464902142871476	0.0184061046269839	0.0839070499672175	0.061555447222662	0.0461524342121708	0.0380730855768078	0.1353034247223176	0.3538349695773186	0.2733673265611467
Firmicutes	0.3599249139059618	0.3391713086425485	0.2021355284520892	0.0499701600721326	0.3053662857085023	0.1472328634117854	0.1385883034030005	0.4988288780596509	0.2410172468768405	0.4327949633749676	0.3102064912273368	0.3521302241481791	0.8684217950910963	0.3115138660057205	0.2768415287989075	0.3485737037113504	0.283679834502746
Fusobacteria	0.0815323207810851	0.1006913205641324	0.1543425599704841	0.1094592514334012	0.0871879149085751	0.111748251267183	0.1460539100362752	0.037712976252648	0.0248668588047533	0.0	0.060820907144963	0.0116612427717908	0.0	0.1866880201868994	0.0534343332664693	0.0563856529651235	0.0918143782692622
Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermotogae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria	0.1713425337371951	0.1342207332896269	0.0364519362717212	0.0	0.1536931133858791	0.0157347348974446	0.0109222412435885	0.161233808428734	0.1529882157290607	0.3276594727702669	0.1070509576040321	0.1097010082214569	0.047671140507239	0.1797378397087412	0.1323327547465955	0.0259973414024853	0.0884685814086547
Spirochaetes	0.0585797633154353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0497337176095067	0.0	0.0	0.1059229551771003	0.0	0.0	0.0888379355054938	0.0	0.014524461804975
Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0491338249560946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
