name,TCGA-CV-5977-11A,TCGA-CV-6003-11A,TCGA-CV-6951-11A,TCGA-CV-6961-11A,TCGA-CV-6939-11A,TCGA-CV-6952-11A,TCGA-CV-5443-11A,TCGA-CV-5971-11A,TCGA-CV-6933-11A,TCGA-CV-5439-11B,TCGA-CV-6433-11A,TCGA-CV-5976-11A,TCGA-CV-5431-11A,TCGA-CV-6954-11A,TCGA-CV-5973-11A,TCGA-CV-5970-11A,TCGA-CV-6959-11A
Simonsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0.059431658,0,0,0,0,0,0,0,0.047619048,0,0,0.110355161,0,0,0.095982653,0,0.015213176
Campylobacter,0.014381454,0.013617811,0,0,0.010923535,0.091138081,0.027851276,0,0,0.017048526,0,0.023285951,0,0.03699498,0.010038383,0,0.020081775
Helicobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,0.094628481,0,0,0.055610725,0,0,0.010335692,0,0,0,0.012149192,0,0,0,0.251807027,0.187412725
Psychrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eikenella,0,0,0,0,0,0.01534234,0,0,0.095238095,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0.036926637,0.017780498,0,0,0.024826216,0,0,0.146498736,0,0,0,0,0,0,0.077898008,0.046779168,0.067954131
Pasteurella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas,0.084233185,0,0,0,0,0.052667735,0,0,0.035714286,0,0,0.101243267,0,0,0,0,0.019349288
Prevotella,0.087524288,0.276166257,0.430030655,0.834164061,0.286991063,0.453171514,0.204982108,0.061661399,0.380952381,0.216928905,0.510705287,0.15895193,0.032431663,0.267821359,0.287031143,0.168636706,0.196362202
Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,0.057576929,0.04038308,0.149869762,0.111868849,0.086395233,0.114266087,0.151621034,0.020424457,0.023809524,0,0.066490463,0,0,0.174962308,0.044268174,0.04953528,0.076649443
Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera,0.016911626,0.022198536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas,0,0,0,0,0.049652433,0,0,0,0.023809524,0,0,0.014174057,0,0,0.04652293,0,0
Capnocytophaga,0.092699951,0.011254815,0.013130114,0,0.045680238,0.012136478,0,0,0.047619048,0,0,0.034422711,0,0,0,0.03314809,0
Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptostreptococcus,0,0,0,0,0,0,0,0,0.023809524,0,0,0.020248653,0,0,0,0.011323418,0
Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0.177051509,0.106843355,0.020990735,0,0.083416087,0.043966109,0,0.220573467,0.047619048,0.227788379,0.091083606,0.165026526,0.712819462,0.077602751,0.115474717,0.203030479,0.079317828
Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella,0,0,0,0,0,0,0,0.055876234,0,0,0.025425514,0.010124327,0,0,0,0.027804035,0
Atopobium,0.041632829,0.016229365,0.011110096,0,0.011916584,0,0,0,0,0.043111237,0.051857073,0.010124327,0,0.01612337,0.014112844,0,0
Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0.020248653,0,0,0,0,0
Actinomyces,0.132378511,0.077333097,0.020433254,0,0.095332671,0,0,0.062031316,0.023809524,0.143946629,0,0.103997084,0.01595505,0.106995001,0.029482339,0,0.067540328
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobiluncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycoplasma,0,0,0,0,0,0,0.051800088,0,0,0,0,0,0,0,0,0,0
Thermosipho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardnerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella,0,0.147565012,0.015927061,0,0.064548163,0,0,0.082297508,0,0.190409442,0,0.028348115,0.025126573,0.055554404,0.039424665,0.025935484,0.136397322
Helcococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotrichia,0.024874548,0.062209153,0,0,0,0,0,0,0,0,0,0,0,0.016267882,0.013315824,0.010706796,0.018961385
Rothia,0,0.049136967,0.016082447,0,0.033763654,0,0,0.302203759,0.035714286,0.150828541,0.011157959,0.021261086,0.065586583,0.06985682,0.092302223,0.047003394,0.023753333
Kingella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phascolarctobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dietzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister,0.011139328,0,0.011887026,0,0,0,0.030808934,0,0,0,0.055515421,0,0,0,0.016663021,0,0
Sutterella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissierella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catonella,0,0,0,0,0.015888779,0,0,0,0,0,0,0,0,0,0.021390059,0,0
Polynucleobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abiotrophia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsuokella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holdemania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mannheimia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delftia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centipeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leclercia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slackia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ensifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoramibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulicatella,0.032085192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174259,0
Bulleidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solobacterium,0.013348209,0,0.037603403,0,0,0.013052439,0.028631769,0,0.071428571,0,0.02222446,0,0,0,0.010233726,0.010183602,0
Olsenella,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0
Catenibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeroglobus,0,0,0.037681096,0,0,0,0.036929642,0,0,0,0,0,0,0,0,0,0
Raoultella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0.012987133,0,0,0,0,0,0
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneathia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttleworthia,0.017671042,0,0,0,0,0,0,0,0,0,0,0,0,0.014368586,0,0,0
Varibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allofustis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tannerella,0,0,0,0,0,0,0.099985261,0,0,0,0,0.036447576,0,0,0.013663004,0,0
Scardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parascardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tepidiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
